,originalLocation,position,x,y,z
1066,K-06-13,"534, 958, 1",534,958,1
1072,K-07-11,"516, 900, 1",516,900,1
1073,K-07-12,"500, 900, 1",500,900,1
1074,K-07-13,"484, 900, 1",484,900,1
1080,K-08-11,"516, 958, 1",516,958,1
1081,K-08-12,"500, 958, 1",500,958,1
1082,K-08-13,"484, 958, 1",484,958,1
1088,K-09-11,"466, 900, 1",466,900,1
1089,K-09-12,"450, 900, 1",450,900,1
1090,K-09-13,"434, 900, 1",434,900,1
1096,K-10-11,"466, 958, 1",466,958,1
1097,K-10-12,"450, 958, 1",450,958,1
1098,K-10-13,"434, 958, 1",434,958,1
1104,K-13-11,"368, 810, 1",368,810,1
1105,K-13-12,"352, 810, 1",352,810,1
1106,K-13-13,"336, 810, 1",336,810,1
1112,K-14-11,"368, 868, 1",368,868,1
1113,K-14-12,"352, 868, 1",352,868,1
1114,K-14-13,"336, 868, 1",336,868,1
1120,K-15-11,"318, 810, 1",318,810,1
1121,K-15-12,"302, 810, 1",302,810,1
1122,K-15-13,"286, 810, 1",286,810,1
1128,K-16-11,"318, 868, 1",318,868,1
1129,K-16-12,"302, 868, 1",302,868,1
1130,K-16-13,"286, 868, 1",286,868,1
1136,K-17-11,"268, 810, 1",268,810,1
1137,K-17-12,"252, 810, 1",252,810,1
1138,K-17-13,"236, 810, 1",236,810,1
1144,K-18-11,"268, 868, 1",268,868,1
1145,K-18-12,"252, 868, 1",252,868,1
1146,K-18-13,"236, 868, 1",236,868,1
1152,K-19-11,"218, 810, 1",218,810,1
1153,K-19-12,"202, 810, 1",202,810,1
1154,K-19-13,"186, 810, 1",186,810,1
1160,K-20-11,"218, 868, 1",218,868,1
1161,K-20-12,"202, 868, 1",202,868,1
1162,K-20-13,"186, 868, 1",186,868,1
1168,K-21-11,"168, 810, 1",168,810,1
1169,K-21-12,"152, 810, 1",152,810,1
1170,K-21-13,"136, 810, 1",136,810,1
1176,K-22-11,"168, 868, 1",168,868,1
1177,K-22-12,"152, 868, 1",152,868,1
1178,K-22-13,"136, 868, 1",136,868,1
1184,K-23-11,"118, 810, 1",118,810,1
1185,K-23-12,"102, 810, 1",102,810,1
1186,K-23-13,"86, 810, 1",86,810,1
1192,K-24-11,"118, 868, 1",118,868,1
1193,K-24-12,"102, 868, 1",102,868,1
1194,K-24-13,"86, 868, 1",86,868,1
1200,L-01-11,"666, 990, 1",666,990,1
1201,L-01-12,"650, 990, 1",650,990,1
1202,L-01-13,"634, 990, 1",634,990,1
1208,L-02-11,"666, 1048, 1",666,1048,1
1209,L-02-12,"650, 1048, 1",650,1048,1
1210,L-02-13,"634, 1048, 1",634,1048,1
1216,L-03-11,"616, 990, 1",616,990,1
1217,L-03-12,"600, 990, 1",600,990,1
1218,L-03-13,"584, 990, 1",584,990,1
1224,L-04-11,"616, 1048, 1",616,1048,1
